,video_id,comments
0,UkWk2xNBh8U,"['I like him', 'beautiful', 'Pretty!!', 'he looks so good omg', 'I can live in this loop.  we need Joe Locke in more collaborations with Dior.  excellent desicion Joe they are elegant and intelligent apart from their ethereal beauty', 'I LOVEEE JOE', 'Precioso hermoso 😍 cada dia que pasa me enamoro más de él ❤️\u200d🔥', 'para cuando una reu con sehun y joe', '❤️❤️❤️❤️', 'Joe is precious :)', 'Love u Joe ❤️', 'Joe is so charismatic!! He should have been on the catwalk.', 'Perfect ❤️', 'ㅠㅠㅠㅠㅠㅠ조롴앙', 'he’s so cute i love him omg', 'Joe is amazing <3', 'This is so lovely, like Joe is lovely (and adorable), this clothing is lovely, thank you for this lovely interview🥲💕🙏', '❤❤👑', ""he's so pretty"", 'Soooooooooooooooo Cute❤']"
1,FGfYxBcUp-0,[]
2,0FmAMxoeaNs,"['MAGNIFIQUE DIOR MAGNIFIQUE.', 'nice', 'AMAZING', '🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥', 'Need to be ready to empty my pockets and bank ,🥺👉👈', 'The music was really cool very relaxing vibe', 'Wooohhhhhh....']"
3,5C26_uR6u4A,"['Amazing.', 'Amazing ,  like always Dior .', '🤎🤎❤❤🤎🤎', '🇹🇷❤️\u200d🔥', 'Quanto siete bravi!!!! Tutti quanti 👌👌👌👌👌🔝🔝🔝🔝😘😘😘😘😘', 'Just perfect ! Love the textile, fabric, and craftmanship.', 'Wow', 'MAGNIFIQUE DIOR MAGNIFIQUE.', 'Wow!......amazed at the talent!', 'The fabric itself looks expensive. The design makes it look effortlessly glam, I love it.', 'Fantastical-  an extraordinary production method-  sheer beauty as an end result 🌿🌐🌿', 'Wow absolutely incredible! Going to such lengths for fashion 🙌', 'Türkiye 🇹🇷', '👏🏻', 'Its masterpiece', ""no wonder it's EXPENSIVE. QUALITY COME WITH THE PRICE 🔥🔥🔥🔥"", '.', 'This is amazing . Dior nailed it. I love it.❤️', 'Jzt Amazing ✨']"
4,fd5ux8J0DJw,"['wow', 'This is my life❤😩', 'I love CD']"
5,qumpqgaMqi4,"[""Can't wait to see joe on ramp for Dior collection ❤️"", 'Joe and bash 🥰🥰🥰🥰🥰', 'Such a great collection 🔥🔥🔥', 'Yokohama ryusei in the cover & he is japanese famous actor.', '1:12 😍', 'Who is the guy talking at 1:35 ?', 'Please invite bts members to the next event with our jisoo too', 'DIOR THE LOVE', 'MATTY ❤️\u200d🔥❤️\u200d🔥❤️\u200d🔥', 'bash… matty healy… and joe locke in the same video i am not okay', 'Matty Healy <3', 'JOE LOCKE OMG 😭', 'MATTY', 'Sebastian Croft, Joe Locke, Jannis Niewöhner and Louis Hofmann in one room🤯', 'Lindo', 'Didnt expect to see bash first thing in the video.. Love it!', 'who is the asian guy on cover?', 'Fantástico divino todo', 'I wish I can be there one Day', 'sebastian croft in the beginning: ""welcome to my home"" lol 🌷🌷 beautiful show']"
6,eXX6YO0hg9E,"['So pretty 💌💗', 'omg it looks beautiful and real..bravo', 'In the search for wonder, there is no ending, only new beginning ❤️❤️❤️', 'THE DESIGN DIOR.', 'Is this an art hoe tast ???', 'Fascinating 😍', ""Yes, this was a truly beautiful set for the show. The flowers alone took my breath away and must have entailed much work, yet they didn't detract from the fashions. Well done.🇦🇺💖🕊"", '❤️', '😍😍🤩🤩', 'DIORRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR😘', '👍👍👍👍👍👍👏👏👏😘😘😘', 'this brings me such good things', 'Beautiful', 'Beautiful, stunning, gorgeous ❤️❤️', 'Beautiful😍✨❤']"
7,gDjPqCtxdxo,"['The scenery 🤯🤯', 'Amazing ✅✅', '🥺❤️❤️❤️❤️', 'Kim just made a collection of hiking gear and trench coats. He made just things that are already ”hot” (were hot 1-2 years ago) and just made a dior version (salomons, rubber boots, crocs/merrell, hiking clothes). Don’t get me wrong the shoes especially look great and I loved the suit jackets here but this just seems super commercial and not that innovative.', 'i love it! they remind me of Grass Type Pokemon Trainers', 'aphextwin', '@ 0.48 I stopped, too boring', 'zzzzzzzzz', 'I loved this.', 'Gostei do show, vibes Karl Lagerfeld para a Chanel.', ""Una sfilata di moda maschile che è anche per noi donne, in tempi di misoginia e femminicidio. Uomini che non hanno paura del loro lato femminile, colore, tessuti freschi, pantaloncini per il caldo e un'eleganza spropositata per capi sportivi. Mi piace."", 'Missing Jhonny Deep there ❤', 'Wow i love the runway so pure and so elegant in victorian century way❤️', '❤️', ""Men's Dior is always giving!!!! Fashion ,art, color and a show! Thank you"", 'This is missing the Essence. Dior cruise was so wonderful with Tap and Flamingo alongside fabulous wear.', ""Some very nice designs shown and I quite liked the colours used as well. I felt the suits looked far too feminine on a male as they had been tailored in at the waist. Loved the shorts, jackets and the longer coats left open to flow behind whilst walking. There are always some garments that I can't see either sex wearing but that's just my opinion. Come on men - dress up!🇦🇺💖🕊"", 'An array of fabulous pieces on an impeccable choice of models. Well done!', 'Good but a little bit boring.', 'amazing 🤩']"
8,aGmcwthI8ag,"['wonderful', 'Beautiful!', 'Man Summer 2023 show just WoW👏\nThanks Dior❤️❤️', ""Oh how I'd love to be sitting in the garden sewing away on my sewing machine......."", 'Belle fleurs!', 'Wow beautifull place 💕', 'no matter how hard we try, life will never be perfect.', 'Excited to see Sehun wear the summer collection!']"
9,hbSbl5IGtyI,[]
10,XbW4Yp_Fvqc,"['😍😍😍😍🥰🥰🥰', 'Great, great expensive garments for those that made their money from blood. Way to go, So much to be proud of.', 'So beautiful!  Created own label and sell to global fans.  Make own money!', 'Son hermosas refinadas y fáciles de utilizar Gracias 🌹', 'Love it.!', 'Es arte', 'Bellisimo trabajo un verdadero arte', '!Obras del arte!', '......', ""Un travail d'orfèvre, d'artiste.\nC'est magnifique, sublime!\nJe comprends que Dior soit toujours au sommet ! Chapeau bas Mesdames!"", 'SPAIN YOUR HAND MADE GREAT.\nMERCY DIOR.', 'Que maravilla 🕊💙🎶🧚🏼🌈🙏🏼', 'FANTASTICOS ! ❤', 'Where do I get one of these dior shawls?', 'La musica del glorioso Alberto Iglesias. ❤', '🏌️\u200d♂️👏🇧🇷', 'Какая прелесть!', 'Bendecidas Sean Ésas Manos. Que bordan tan Maravilloso. Felicitaciones...   Un Saludo Cordial y Fraterno.desde el último lugar del Mundo.👌🙏🙏🙌🙌', 'Un vestido para  la 👑 jisoo de blackpink  👗👗💃💯🖤💗👠👄. Dior 💯 hermoso 📷💪', 'Los mantones, la esencia de Andalucía.']"
11,fIs5KOltyao,"['Awesomeness  👏  nice to meet you all 💕', 'Un show époustouflant ! Magnifique', 'Grandiose 🎻', '❤️❤️❤️', 'My goodness, what an extraordinary presentation. The collection is absolutely gorgeous😍', 'Eccezionale!!! Maria grazia troppo brava\n💟💟💟💟💟🤗🤗🤗🤗👏👏👏👏👏👏', '🍃🌿   🔭   Uuu', 'Jisoo human Dior ???? 🤔🤔🖤💗🤨🤔', 'Extraordinário! <3', 'Were is jisoo ☹️☹️☹️☹️☹️', 'Elle!!❤️❤️', 'Galliano at its finest for Dior', 'Maravilloso espectacular... Linda la música... Bella la decoración... Hermosas, extraordinarias las  \nbailarinas. Todo el desfile muy elegante. Felicitaciones a *CRISTIAN DIOR*\nGRACIAS POR COMPARTIR.👍🙌', 'احب ديور...لان ساندوا ..جوني ديب.', 'Absolutely beautiful! Would have loved to be in the audience myself.', 'Muy hermoso todo 😍💖', 'so enchanting', 'Spectacular spectacular spectacular!', '😍', 'Woww amazing']"
12,_GXbbRIFAGg,"['Reminds me of a Fan my mother received as a gift from My Marine  Brother ...sent from Vietnam from the late 60s..🕊💙', 'DIOR UNIQUE DIOR.', '太ってる人とかも、モデルとして起用して欲しい。説得力がない。', 'Yay fans ⚡️', 'Where do I get one of these fans?', 'Aganle uno a la 👑 Jisoo de blackpink 🥰  hermosos abanicos  💯😍💃', 'Los abanicos españoles son únicos', 'Ooh wow ! so beautiful, would love to have one.', 'They are really beautiful, but are they really useful as fans with all that empty space? I love them anyway, and also the way they are made, so delicate!', 'I love a proper fan, in hot weather they are a boon.', '🍃🌿  🔭  Uuu', 'Those hand fans are pretty...handy to use for hot summer days...', '💖 💕', 'Wishing I can see jisoo with a fan', 'me encantan los abanicos :’)', ""C'est beau❤🇩🇿"", 'Orgullo amunt valencia', '❤❤❤', 'lindooooo', ""C'est très bien, merci""]"
13,ueb8DknenC8,"['Beautiful', 'Beautiful, especially the sacred garments ....bravo.', 'Absolutely stunning workmanship!  That jacket is ... I want that jacket!!', 'Andalucía siempre ha sido la cuna del arte. ¡Felicidades!', 'Maravilloso todo 💙🕊🎶🧚🏼🌈🙏🏼', '🏌️\u200d♂️👏🇧🇷', 'A jisoo 👑 de blackpink le quedaría hermoso ,,,, lindas piezas buen trabajo hermoso 💯💯💯💯', 'Que maravilla!!!! Me emocioné mucho mirando y escuchando a este señor. Me encanta como habla, sus palabras, su acento, su pasión. Felicitaciones por su arte! Y Gracias Dior!', 'qué alegría me.ha dado ver estos vídeos de Dior. el desfile de Sevilla. y todos los artesanos y artistas que participaron', 'Lucky for Dior to have found you and your women!!', 'Amazing embroidery, such skill - my absolute favourite piece of clothing of the entire show. Couture would not exist but for these skilled craftspeople.', '🍃🌿   🔭  Uuu', 'Que Maravilloso. Lluvia de Bendiciones.', 'Felicidades a Dior por dar a conocer y rescatar estos oficios desde México amo andalucia y bueno acá tenemos una herencia maravillosa de bordado ... felicidades a Dior', 'arriba España', 'Just beautiful, congratulations!!!', 'Divino todo , que hermosura . Felicidades por manter sus manos dedicadas , siempre haciendo cosas maravillosas . Dior ❤️.', 'Muy hermoso, enhorabuena!', 'Andalucía, la fábrica de la alta costura, el bordado y la peletería del mundo. \n\n❤❤❤❤❤❤', 'That art']"
14,1XZtyrgUQhg,"['Materialistic BULLSHIT to KEEP the WORKSLAVES distracted and antagonistic', ""I couldn't really see the collection it wasn't focused enough but what I could glimpse was Beautiful!"", 'Bravo Dior!  You knocked it out of the Park on this one! I loved everything and the setting was marvelous. The Dancers just divine...', 'Это прекрасно! Любимая España! Cпасибо за чудесный подарок, Dior!', 'Lindoooooooooooo!!! Ah se eu tivesse condição', 'Восхитительно,завораживающе,таллантливо!Привет из Украины.', 'Thank you dior  for respecting Johnny i will always support your company', 'I hope y’all understand that we watch the show for the clothes n accessories. The artistic pieces are nice but not if they overshadow the show.', 'Everything else shown but the collection… very annoying:(', 'The editing for this show was absolutely trash! Honestly the dancers were shown more than the clothing. Y’all even missed dresses and didn’t show the whole collection because the focus was the dancers. What a wasted opportunity, whoever is in charge filming needs the directive that the clothing should be the absolute focus. Millions of dollars of production wasted because of faulty camera focus. SMH', '2:02', ""Sorry but it looks like expensive well-made H&M.\nTerrible presentation as well, I shouldn't have to continuously pause throughout the show to actually get a good look at the clothes. Maybe as an 'event' it would be interesting...but it's a fashion show. I feel the lack of focus on the clothing is a distraction."", 'Диор -это искусство и вдохновение !Очень красивая. Коллекция!', '❤️stunning', 'SINISTRE', 'Ok but the completely random cuts are a bit funny, especially when orchestra players were just staring, the angle of the shots was also awkward, not to mention the zoom ins on the faces. I wanted to look at the clothes a bit longer. Edit: I forgot to mention the zoom outs into space, oh lord', 'Bravo !', 'This was awesome and fresh cultural and all pieces deserve credit flawless execution.', 'Прекрасная коллекция, красивые люди, великолепная архитектура, - зачем разрешаете слать оружие на Украину и убивать людей на Донбассе? Зачем отказываетесь от торговли с Россией? Зачем не препятствуете распространению фашизма в Украину и из Украины?? Там люди гибнут из-за американских прихотей уже 8 лет, а Европа ничего не видит?? Или сами готовы прислуживать США и умирать от голода и позора, чтобы на планете остался ""золотой миллиард"" обслуживать Хозяев Мира? Или в Европе трезвомыслящих людей не осталось??', 'Dior comes back finally!!']"
15,xDr0_T0vJmY,"['love ur posters', 'maravillosa!', 'Maravilloso! Una mujer Dior comparte todas las cualidades descritas en el video', 'Dior', 'Pura belleza !!', '👏🏻👏🏻💞👏🏻👏🏻', '❤❤👏👏', 'The\xa0heroes that inspire us are the ones in which we see a glimpse of our own potential.', 'Lo Mejor', '😍😍']"
16,VL98zTmWzgg,"['I love her orange hair omggggff I’m literally crying', '❤️❤️\U0001fae3', 'Beautiful 😻', 'She is so pretty.', 'We may have lost friends, but we gained angels.', 'Hay dior sponser me!', 'Gianfranco Ferré fue el mejor y más elegante diseñador, que estuvo a cargo de la firma. Se le extraña. Saludos😉', 'love u dior❤', 'Love you Jisoo']"
17,-KQ-uKcAxpA,"['Beautiful film and music', 'WOW!! STUNNING!! ❤❤❤', '.', 'Wow.', 'Absolutely stunning!', 'Amazing', 'Beautiful!!', 'Jisoo mana', 'This video is a work of art. Truly marvelous', 'Classy, Timeless yet in line with current TRENDS !!', 'Love her jewelry...and the dresses and models, everything was perfect.  Thank you.💝', 'CHICLAYO PERU 🇵🇪 💪 💪', 'of course the jewelry is 😍😍❤❤❤', 'la mia bella Sicilia 💕 ❤ 💓 💖 💗', 'The sparkle is everything with these pieces. Stunning!', 'Beautiful', 'Exceptional craftsmanship! Mesmerizing collection! Love!✨❤️✨', 'That Damelio girl is the opposite of classy. All she does is shake her ass for money on tiktok', 'Belleza de Italia', 'Dior usually exceeds my expectations. 👏🏻👏🏻👏🏻']"
18,smW8GQDhOgw,"[""After delving into the Dioriviera Collection of Beauty products, it's lovely to see what has inspired the items I now own. Thank you Dior!🇦🇺💖🕊"", 'This is a really interesting tour!👍👍👍', 'A B C.. Dior...love it😘🥰😍', 'Fantastic \n\nCheers from San Diego California', 'Oh how I love Dior..........💗💗', '💓💝', 'Love you Jisoo']"
19,-HHbt8FcqDE,"['Cannes is a beautiful place!', '나도 프랑스어 잘하고싶당', 'So quintessentially french, I love her look <3']"
20,zzgS0078TgQ,"['I want this, please, I want the bag😭😭', 'I would love to buy it', 'Super']"
21,d51HHgAvcIo,"['Pierre Niney 😍', 'J aime Dior', 'Bendiciones hermosa Celina que Dios te cuidef donde quiera que Pamelarioss.Uno encantan tus videos.', 'J’adore Pierre Niney! ❤️ Such an incredible actor! His portrayal of Yves Saint Laurent was truly breathtaking!❤️❤️❤️', 'How can we not love a well dressed man?', 'i love dior Much ❤❤', 'Jisoo love you', '💗']"
22,lHS0k3QLT4A,"['Wow Dior I wish that i see the Dior brand and love you who makes every dresses for celebrities and like kpop idols.', 'Is Johnny Depp and Christian dior']"
23,P_mwo_R74RQ,"['oh sehun 😍😍😍😍', 'he is a fashion legend', 'him look is so so pretty', 'the best person for talk about dior new colection', 'he is so smart', 'Bruh I saw Sehun AND I CLICKED', '💜 Sehun, the mischievous maknae.', 'Love and respect for Sehun', 'I hope Sehun goes to the MET gala as Dior Ambassador!', ""I have always loved Sehun's eyes!. Even more so when he talks about fashion!  You will know through them how he really loves the Fashion Industry and how working on it excites him.   Thank you Dior for choosing him to be your Ambassador.  Sehun x Dior always scream Luxury and Grace!"", 'Jonny depp', 'Thank you Dior, OhSehun so perfect with Dior', 'Sooooo fine!', 'Sooooo fine!', 'we love sehunxdior', 'Good on Dior for sticking by Johnny Depp', 'SEHUN IS THE STANDARD', 'OSH OSH OSH OSH OSH🔥🔥🔥🔥🔥', 'The way he gives his view on the collection is so classy 💗💗💗 \nThis makes me want to see him as a fashion designer 😭😭', 'His formal speaking mida mida']"
24,Ik_YyZ5nKP0,"['🙀🌻', 'We want to see JD more', 'thank you so much for sticking with johnny till the end!! <3 even after every company left his side due to this case you were the only one supporting him. Thank you so much']"
25,jZXVmwhwY98,"['💜brevity is indeed the soul of wit…Well,done!', '☺️😉❤️', '🥀 ... love it🥀 this is such an amazing shoot... Beautiful 🥀', 'She is so good']"
26,qoXEAnef10M,[]
27,P4JXMXypiic,"[""I wish I had this kid's problems..😒"", 'gang sta', 'Everything about this video is perfection', 'Chris Dior, thanks for everything <3', ""He's got calm dad energy.. love it"", 'I always like DIOR so i watch every video 💗⚡️', 'He is like Gang star', 'Would love to see your fashion']"
28,3ZKY2ZwUrG0,"['We want jisoooo', '100%kvalitu materiálů a výrobků', '👏👏👏👏👏❤️', '😍😍😍']"
