,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,dislikeCount,favouriteCount,commentCount,duration,definition,caption,publishedDaytime,durationSecs,tagCount,title_no_stopwords
0,UkWk2xNBh8U,Christian Dior,Joe Locke at the Dior Men's Summer 2023 show,"Spend some time with Joe Locke as he gets ready to attend the Dior Men Summer 2023 show in Paris. The young British actor, fresh from finishing his final high school exams, reveals his front-row outfit, and shares his impressions first of the stunning garden scenography and then of the collection by Kim Jones unveiled in it.
Video by Melinda Triana. 

#DiorSummer23",,2022-06-29 16:31:48+00:00,6268.0,846.0,,,41.0,PT2M43S,hd,true,Wednesday,163.0,0,"['Joe', 'Locke', 'Dior', ""Men's"", 'Summer', '2023', 'show']"
1,FGfYxBcUp-0,Christian Dior,Peter Philips Makeup Talks - Dior Men Summer 2023,"Come backstage with Dior Makeup following Peter Philips Creative & Image Director of Dior Makeup, and the Dior models showing you around.

#DiorBeauty #DiorMakeup #DiorBackstage #DiorSummer23",,2022-06-29 08:37:12+00:00,4192.0,256.0,,,0.0,PT1M25S,hd,false,Wednesday,85.0,0,"['Peter', 'Philips', 'Makeup', 'Talks', '-', 'Dior', 'Men', 'Summer', '2023']"
2,0FmAMxoeaNs,Christian Dior,Dior Men’s Summer 2023 details,,,2022-06-28 17:21:36+00:00,2370.0,245.0,,,7.0,PT50S,hd,false,Tuesday,50.0,0,"['Dior', 'Men’s', 'Summer', '2023', 'details']"
3,5C26_uR6u4A,Christian Dior,Dior Men's Summer 2023 textile treasure,"Kutnu is a fabric dating from the 16th-century. Having been worn exclusively by the sultans of the Ottoman empire, it faded into obscurity. Recently revived, and specially woven for the House in a visually shimmering form, it was one of the standout textiles in the Dior Men Summer 2023 by Kim Jones show. Learn about its surprising journey from the imperial courts to the Paris runway. 
Fabric by Kutnia.
Video by Melinda Triana. 

#DiorSummer23","['Dior', 'Christian Dior', ""Dior Men's Summer"", ""Dior Men's Summer 2023"", 'Men Summer 2023', '2023', 'summer', 'été', 'été 2023', 'collection Homme', 'Dior Homme', ""men's clothing"", ""men's collection"", ""men's clothes"", 'savoir-faire', 'know-how', 'how to', 'craftsmanship', 'crafts', 'creativity', 'ottoman', 'kutnu', 'fabric', 'runway', 'show', 'fashion show', 'pfw', 'paris fashion week']",2022-06-28 10:01:37+00:00,12599.0,690.0,,,20.0,PT2M4S,hd,true,Tuesday,124.0,28,"['Dior', ""Men's"", 'Summer', '2023', 'textile', 'treasure']"
4,fd5ux8J0DJw,Christian Dior,Dior J'adore - The Eau de Parfum,"A mesmerizing swirl of flowers transforms into liquid gold. Rediscover the legendary J'adore Eau de Parfum with its sensual golden curves and empowering feminine scent.
•
#DiorBeauty #DiorParfums #Jadore","['dior', 'parfum', 'perfume', 'fragrance', 'luxe', 'ritual', 'beauty', ""j'adore"", 'jadore', 'dior beauty']",2022-06-27 14:25:00+00:00,7652.0,488.0,,,3.0,PT27S,hd,false,Monday,27.0,10,"['Dior', ""J'adore"", '-', 'The', 'Eau', 'de', 'Parfum']"
5,qumpqgaMqi4,Christian Dior,Dior Men's Summer 2023 show guests,"With a stellar mix of international stars in attendance - including Justin Timberlake and Jessica Biel, David Beckham, J Balvin, Chase Hudson, Joe Locke, Guillaume Canet, and Dior Japan ambassador Ryusei Yokohama - discover what some of our special invitees had to say about their Dior Men's Summer 2023 show experience.
Video by Daniel Darmon.

#DiorSummer23",,2022-06-26 14:36:01+00:00,22727.0,1066.0,,,47.0,PT1M57S,hd,true,Sunday,117.0,0,"['Dior', ""Men's"", 'Summer', '2023', 'show', 'guests']"
6,eXX6YO0hg9E,Christian Dior,A charmed discovery of the Dior Men Summer 2023 show set,"Sweep through the sylvan splendor of the set for the Dior Men Summer 2023 show, specially constructed in the grounds of the Val-de-Grâce in Paris. Framing the undulating garden landscape abloom in colorful flowers are to-scale recreations of the facades of Monsieur Dior’s childhood home at Granville and the Charleston Farmhouse, the English countryside of the Bloomsbury group artist Duncan Grant. Both men acted as the collection’s guiding inspirations.","['dior', 'kim jones', 'christian dior', 'dior show', 'fashion show', 'dior men summer 2023', 'paris fashion week', 'fashion week', 'men summer collection']",2022-06-25 14:00:17+00:00,7449.0,456.0,,,15.0,PT34S,hd,false,Saturday,34.0,9,"['A', 'charmed', 'discovery', 'Dior', 'Men', 'Summer', '2023', 'show', 'set']"
7,gDjPqCtxdxo,Christian Dior,The Dior Men Summer 2023 Show,"Tune into the live unveiling of the Dior men Summer 2023 by Kim Jones show, set in a pastoral reconstruction of Monsieur Dior’s Granville villa and the Charleston Farmhouse.
#DiorSummer23",,2022-06-24 13:23:57+00:00,425914.0,1566.0,,,47.0,PT11M20S,hd,false,Friday,680.0,0,"['The', 'Dior', 'Men', 'Summer', '2023', 'Show']"
8,aGmcwthI8ag,Christian Dior,A tempting hint to the Dior Men Summer 2023 show,"With the Dior Men Summer 2023 show scheduled for 3pm CET today, Kim Jones teasingly cites some of the collection’s inspirations, from Granville to the Charleston Farmhouse. Watch the unveiling live right here on our YouTube channel!

Video by Melinda Triana
Music by Max Richter Music

More on: https://www.dior.com/en_int/fashion/mens-fashion/shows/summer-2023-mens-show?utm_source=allplatforms&utm_medium=social_owned&utm_campaign=cdc_global_men_summer23___storyfeed&utm_term=storyfeed&utm_content=static&video.

#CharlestonTrust #DiorSummer23","['Dior', 'Christian Dior', 'Dior Granville', 'Granville', 'Charleston', 'Charleston Trust', 'Kim Jones', ""Women's collection"", ""women's clothes"", ""women's clothing"", 'Teaser', 'Men summer 2023', 'Men summer', '2023', 'Summer', ""Men's collection"", ""men's clothes"", ""men's clothing""]",2022-06-24 07:49:44+00:00,8463.0,414.0,,,8.0,PT38S,hd,true,Friday,38.0,18,"['A', 'tempting', 'hint', 'Dior', 'Men', 'Summer', '2023', 'show']"
9,hbSbl5IGtyI,Christian Dior,Dior by Birkenstock Savoir-Faire,"Uncover the role played by Dior savoir-faire in the realization of the #DiorBirkenstock collaboration. The Milano sandal and Tokio mule - two timeless Birkenstock styles - were revisited by KimJones through a mix of technical innovation and respectful continuity. The addition of special floral hand-embroideries realized by Vermont Paris references Monsieur Dior’s love of gardens.
© Video by MelindaTriana",,2022-06-22 22:36:21+00:00,12368.0,620.0,,,0.0,PT1M31S,hd,true,Wednesday,91.0,0,"['Dior', 'Birkenstock', 'Savoir-Faire']"
